biblioitemnumber,serialid,biblionumber,subscriptionid,status,planneddate,publisheddate,serialseq,copyrightdate,month,issue_within_year,issue_date_1,issue_date_2
7757,75,31512,1,2,1977-04-01,1977-04-01,"Vol. 134, No. 2",1977,4,2,April - June,
22303,76,31512,1,2,1977-04-01,1977-04-01,"Vol. 134, No. 2",1977,4,2,Apr-June 1977,
7756,77,31512,1,2,1977-07-01,1977-07-01,"Vol. 134, No. 3",1977,7,3,July - Sept.,
22312,78,31512,1,2,1977-07-01,1977-07-01,"Vol. 134, No. 3",1977,7,3,July-Sept 1977,
7755,79,31512,1,2,1977-10-01,1977-10-01,"Vol. 134, No. 4",1977,10,4,Oct. - Dec.,
22300,80,31512,1,2,1977-10-01,1977-10-01,"Vol. 134, No. 4",1977,10,4,Oct-Dec 1977,
7754,81,31512,1,2,1978-01-01,1978-01-01,"Vol. 135, No. 1",1978,1,1,Jan. - March,
22299,82,31512,1,2,1978-01-01,1978-01-01,"Vol. 135, No. 1",1978,1,1,Jan-Mar 1978,
7753,83,31512,1,2,1978-04-01,1978-04-01,"Vol. 135, No. 2",1978,4,2,April - June,
22291,84,31512,1,2,1978-04-01,1978-04-01,"Vol. 135, No. 2",1978,4,2,Apr-June 1978,
7752,85,31512,1,2,1978-07-01,1978-07-01,"Vol. 135, No. 3",1978,7,3,July - Sept.,
22309,86,31512,1,2,1978-07-01,1978-07-01,"Vol. 135, No. 3",1978,7,3,July-Sept 1978,
7751,87,31512,1,2,1978-10-01,1978-10-01,"Vol. 135, No. 4",1978,10,4,Oct. - Dec.,
22308,88,31512,1,2,1978-10-01,1978-10-01,"Vol. 135, No. 4",1978,10,4,Oct-Dec 1978,
7750,89,31512,1,2,1979-01-01,1979-01-01,"Vol. 136, No. 1",1979,1,1,Jan. - March,
22307,90,31512,1,2,1979-01-01,1979-01-01,"Vol. 136, No. 1",1979,1,1,Jan-Mar 1979,
7722,91,31512,1,2,1979-04-01,1979-04-01,"Vol. 136, No. 2",1979,4,2,April - June,
22283,92,31512,1,2,1979-04-01,1979-04-01,"Vol. 136, No. 2",1979,4,2,Apr-June 1979,
7721,93,31512,1,2,1979-07-01,1979-07-01,"Vol. 136, No. 3",1979,7,3,July - Sept.,
22306,94,31512,1,2,1979-07-01,1979-07-01,"Vol. 136, No. 3",1979,7,3,July-Sept 1979,
7720,95,31512,1,2,1979-10-01,1979-10-01,"Vol. 136, No. 4",1979,10,4,Oct. - Dec.,
22304,96,31512,1,2,1979-10-01,1979-10-01,"Vol. 136, No. 4",1979,10,4,Oct-Dec 1979,
7719,97,31512,1,2,1980-01-01,1980-01-01,"Vol. 137, No. 1",1980,1,1,Jan. - March,
7775,98,31512,1,2,1980-04-01,1980-04-01,"Vol. 137, No. 2",1980,4,2,April - June,
7774,99,31512,1,2,1980-07-01,1980-07-01,"Vol. 137, No. 3",1980,7,3,July - Sept.,
22276,100,31512,1,2,1980-07-01,1980-07-01,"Vol. 137, No. 3",1980,7,3,July-Sept 1980,
7772,101,31512,1,2,1980-10-01,1980-10-01,"Vol. 137, No. 4",1980,10,4,Oct. - Dec.,
7773,102,31512,1,2,1980-10-01,1980-10-01,"Vol. 137, No. 4",1980,10,4,Oct. - Dec.,
22279,103,31512,1,2,1980-10-01,1980-10-01,"Vol. 137, No. 4",1980,10,4,Oct-Dec 1980,
7771,104,31512,1,2,1981-01-01,1981-01-01,"Vol. 138, No. 1",1981,1,1,Jan. - March,
22273,105,31512,1,2,1981-01-01,1981-01-01,"Vol. 138, No. 1",1981,1,1,Jan-Mar. 1981,
7769,106,31512,1,2,1981-04-01,1981-04-01,"Vol. 138, No. 2",1981,4,2,April - June,
7770,107,31512,1,2,1981-04-01,1981-04-01,"Vol. 138, No. 2",1981,4,2,April - June,
22274,108,31512,1,2,1981-04-01,1981-04-01,"Vol. 138, No. 2",1981,4,2,Apr-June 1981,
7768,109,31512,1,2,1981-07-01,1981-07-01,"Vol. 138, No. 3",1981,7,3,July - Sept.,
22277,110,31512,1,2,1981-07-01,1981-07-01,"Vol. 138, No. 3",1981,7,3,July-Sept. 1981,
22278,111,31512,1,2,1981-10-01,1981-10-01,"Vol. 138, No. 4",1981,10,4,Oct-Dec 1981,
7767,112,31512,1,2,1982-01-01,1982-01-01,"Vol. 139, No. 1",1982,1,1,Jan. - March,
22284,113,31512,1,2,1982-01-01,1982-01-01,"Vol. 139, No. 1",1982,1,1,Jan-Mar 1982,
7778,114,31512,1,2,1982-04-01,1982-04-01,"Vol. 139, No. 2",1982,4,2,April - June,
22285,115,31512,1,2,1982-04-01,1982-04-01,"Vol. 139, No. 2",1982,4,2,April-June 1982,
7766,116,31512,1,2,1982-07-01,1982-07-01,"Vol. 139, No. 3",1982,7,3,July - Sept.,
22286,117,31512,1,2,1982-07-01,1982-07-01,"Vol. 139, No. 3",1982,7,3,July-Sept 1982,
22272,118,31512,1,2,1982-10-01,1982-10-01,"Vol. 139, No. 4",1982,10,4,Oct-Dec 1982,
7765,119,31512,1,2,1983-01-01,1983-01-01,"Vol. 140, No. 1",1983,1,1,Jan. - March,
22289,120,31512,1,2,1983-01-01,1983-01-01,"Vol. 140, No. 1",1983,1,1,Jan-Mar 1983,
7764,121,31512,1,2,1983-04-01,1983-04-01,"Vol. 140, No. 2",1983,4,2,April - June,
22290,122,31512,1,2,1983-04-01,1983-04-01,"Vol. 140, No. 2",1983,4,2,Apr-June 1983,
7763,123,31512,1,2,1983-07-01,1983-07-01,"Vol. 140, No. 3",1983,7,3,July - Sept.,
22270,124,31512,1,2,1983-07-01,1983-07-01,"Vol. 140, No. 3",1983,7,3,July-Sept. 1983,
7762,125,31512,1,2,1983-10-01,1983-10-01,"Vol. 140, No. 4",1983,10,4,Oct. - Dec.,
22269,126,31512,1,2,1983-10-01,1983-10-01,"Vol. 140, No. 4",1983,10,4,Oct.-Dec. 1983,
7761,127,31512,1,2,1984-01-01,1984-01-01,"Vol. 141, No. 1",1984,1,1,Jan. - Mar.,
22280,128,31512,1,2,1984-01-01,1984-01-01,"Vol. 141, No. 1",1984,1,1,Jan-March 1984,
7760,129,31512,1,2,1984-04-01,1984-04-01,"Vol. 141, No. 2",1984,4,2,April - June,
22281,130,31512,1,2,1984-04-01,1984-04-01,"Vol. 141, No. 2",1984,4,2,Apr.- June 1984,
7759,131,31512,1,2,1984-07-01,1984-07-01,"Vol. 141, No. 3",1984,7,3,July - Sept.,
22305,132,31512,1,2,1984-07-01,1984-07-01,"Vol. 141, No. 3",1984,7,3,July-Sept 1984,
7749,133,31512,1,2,1984-10-01,1984-10-01,"Vol. 141, No. 4",1984,10,4,Oct. - Dec.,
7715,134,31512,1,2,1985-01-01,1985-01-01,"Vol. 142, No. 1",1985,1,1,Jan. - March,
7716,135,31512,1,2,1985-04-01,1985-04-01,"Vol. 142, No. 2",1985,4,2,April - June,
7717,136,31512,1,2,1985-07-01,1985-07-01,"Vol. 142, No. 3",1985,7,3,July - Sept.,
22268,137,31512,1,2,1985-07-01,1985-07-01,"Vol. 142, No. 3",1985,7,3,July-Sept. 1985,
7718,138,31512,1,2,1985-10-01,1985-10-01,"Vol. 142, No. 4",1985,10,4,Oct. - Dec.,
22267,139,31512,1,2,1985-10-01,1985-10-01,"Vol. 142, No. 4",1985,10,4,Oct.-Dec. 1985,
7679,140,31512,1,2,1986-01-01,1986-01-01,"Vol. 143, No. 1",1986,1,1,Jan. - March,
22282,141,31512,1,2,1986-01-01,1986-01-01,"Vol. 143, No. 1",1986,1,1,Jan-Mar 1986,
7776,142,31512,1,2,1986-04-01,1986-04-01,"Vol. 143, No. 2",1986,4,2,April - June,
22275,143,31512,1,2,1986-04-01,1986-04-01,"Vol. 143, No. 2",1986,4,2,Apr-June 19896,
7680,144,31512,1,2,1986-07-01,1986-07-01,"Vol. 143, No. 3",1986,7,3,July - Sept.,
22287,145,31512,1,2,1986-07-01,1986-07-01,"Vol. 143, No. 3",1986,7,3,July-Sept 1986,
7681,146,31512,1,2,1986-10-01,1986-10-01,"Vol. 143, No. 4",1986,10,4,Oct. - Dec.,
22288,147,31512,1,2,1986-10-01,1986-10-01,"Vol. 143, No. 4",1986,10,4,Oct-Dec 1986,
7682,148,31512,1,2,1987-01-01,1987-01-01,"Vol. 144, No. 1",1987,1,1,Jan. - March,
7683,149,31512,1,2,1987-04-01,1987-04-01,"Vol. 144, No. 2",1987,4,2,April - June,
7684,150,31512,1,2,1987-07-01,1987-07-01,"Vol. 144, No. 3",1987,7,3,July - Sept.,
7685,151,31512,1,2,1987-10-01,1987-10-01,"Vol. 144, No. 4",1987,10,4,Oct. - Dec.,
7686,152,31512,1,2,1988-01-01,1988-01-01,"Vol. 145, No. 1",1988,1,1,Jan. - March,
7687,153,31512,1,2,1988-04-01,1988-04-01,"Vol. 145, No. 2",1988,4,2,April - June,
7688,154,31512,1,2,1988-07-01,1988-07-01,"Vol. 145, No. 3",1988,7,3,July - Sept.,
7689,155,31512,1,2,1988-10-01,1988-10-01,"Vol. 145, No. 4",1988,10,4,Oct. - Dec.,
7690,156,31512,1,2,1989-01-01,1989-01-01,"Vol. 146, No. 1",1989,1,1,Jan. - March,
15777,157,31512,1,2,1989-01-01,1989-01-01,"Vol. 146, No. 1",1989,1,1,"Number 581, Volume 146",January - March 1989
7691,158,31512,1,2,1989-04-01,1989-04-01,"Vol. 146, No. 2",1989,4,2,April - June,
15778,159,31512,1,2,1989-04-01,1989-04-01,"Vol. 146, No. 2",1989,4,2,"Number 581, Volume 146",April - June 1989
7699,160,31512,1,2,1989-07-01,1989-07-01,"Vol. 146, No. 3",1989,7,3,July - Sept.,
7700,161,31512,1,2,1989-10-01,1989-10-01,"Vol. 146, No. 4",1989,10,4,Oct. - Dec.,
7702,162,31512,1,2,1990-01-01,1990-01-01,"Vol. 147, No. 1",1990,1,1,Jan. - March,
7703,163,31512,1,2,1990-04-01,1990-04-01,"Vol. 147, No. 2",1990,4,2,April - June,
7704,164,31512,1,2,1990-07-01,1990-07-01,"Vol. 147, No. 3",1990,7,3,July - Sept.,
7705,165,31512,1,2,1990-10-01,1990-10-01,"Vol. 147, No. 4",1990,10,4,Oct. - Dec.,
7706,166,31512,1,2,1991-01-01,1991-01-01,"Vol. 148, No. 1",1991,1,1,Jan. - Mar.,
7707,167,31512,1,2,1991-04-01,1991-04-01,"Vol. 148, No. 2",1991,4,2,April - June,
7708,168,31512,1,2,1991-07-01,1991-07-01,"Vol. 148, No. 3",1991,7,3,July - Sept.,
7675,169,31512,1,2,1991-10-01,1991-10-01,"Vol. 148, No. 4",1991,10,4,Oct. - Dec.,
7676,170,31512,1,2,1992-01-01,1992-01-01,"Vol. 149, No. 1",1992,1,1,Jan. - March,
7678,171,31512,1,2,1992-04-01,1992-04-01,"Vol. 149, No. 2",1992,4,2,April - June,
7677,172,31512,1,2,1992-07-01,1992-07-01,"Vol. 149, No. 3",1992,7,3,July - Sept.,
7695,173,31512,1,2,1992-10-01,1992-10-01,"Vol. 149, No. 4",1992,10,4,Oct. - Dec.,
22271,174,31512,1,2,1992-10-01,1992-10-01,"Vol. 149, No. 4",1992,10,4,Oct-Dec 1992,
7696,175,31512,1,2,1993-01-01,1993-01-01,"Vol. 150, No. 1",1993,1,1,Jan. - March,
7714,176,31512,1,2,1993-04-01,1993-04-01,"Vol. 150, No. 2",1993,4,2,April - June,
7697,177,31512,1,2,1993-07-01,1993-07-01,"Vol. 150, No. 3",1993,7,3,July - Sept.,
7698,178,31512,1,2,1993-10-01,1993-10-01,"Vol. 150, No. 4",1993,10,4,Oct. - Dec.,
7701,179,31512,1,2,1994-01-01,1994-01-01,"Vol. 151, No. 1",1994,1,1,Jan. - March,
7668,180,31512,1,2,1994-04-01,1994-04-01,"Vol. 151, No. 2",1994,4,2,April - June,
7669,181,31512,1,2,1994-07-01,1994-07-01,"Vol. 151, No. 3",1994,7,3,July - Sept.,
7670,182,31512,1,2,1994-10-01,1994-10-01,"Vol. 151, No. 4",1994,10,4,Oct. - Dec.,
7671,183,31512,1,2,1995-01-01,1995-01-01,"Vol. 152, No. 1",1995,1,1,Jan. - March,
7672,184,31512,1,2,1995-04-01,1995-04-01,"Vol. 152, No. 2",1995,4,2,April - June,
7673,185,31512,1,2,1995-07-01,1995-07-01,"Vol. 152, No. 3",1995,7,3,July - Sept.,
7674,186,31512,1,2,1995-10-01,1995-10-01,"Vol. 152, No. 4",1995,10,4,Oct. - Dec.,
7692,187,31512,1,2,1996-01-01,1996-01-01,"Vol. 153, No. 1",1996,1,1,Jan. - March,
7693,188,31512,1,2,1996-04-01,1996-04-01,"Vol. 153, No. 2",1996,4,2,April - June,
7694,189,31512,1,2,1996-07-01,1996-07-01,"Vol. 153, No. 3",1996,7,3,July - Sept.,
7709,190,31512,1,2,1996-10-01,1996-10-01,"Vol. 153, No. 4",1996,10,4,Oct. - Dec.,
7710,191,31512,1,2,1997-01-01,1997-01-01,"Vol. 154, No. 1",1997,1,1,Jan. - March,
7711,192,31512,1,2,1997-04-01,1997-04-01,"Vol. 154, No. 2",1997,4,2,April - June,
7712,193,31512,1,2,1997-07-01,1997-07-01,"Vol. 154, No. 3",1997,7,3,July - Sept.,
7713,194,31512,1,2,1997-10-01,1997-10-01,"Vol. 154, No. 4",1997,10,4,Oct. - Dec.,
9165,195,31512,1,2,2007-07-01,2007-07-01,"Vol. 164, No. 3",2007,7,3,July - Sept.,
9172,196,31512,1,2,2007-10-01,2007-10-01,"Vol. 164, No. 4",2007,10,4,Oct - Dec '07,
1180,,31512,1,2,,,,NULL,,,,
1181,,31512,1,2,,,,NULL,,,,
1182,,31512,1,2,,,,NULL,,,,
1183,,31512,1,2,,,,NULL,,,,
1945,,31512,1,2,,,,NULL,,,,
1946,,31512,1,2,,,,NULL,,,,
3558,,31512,1,2,,,,NULL,,,,
3559,,31512,1,2,,,,NULL,,,,
